Crop,N_percent,P_mg_per_kg,K_cmol_per_kg,pH,Temp_C,Rainfall_mm,Yield_t_per_ha
Yam,0.07,7.4,0.44,5.5,27.3,555,6.3
Yam,0.08,8.1,0.48,5.7,27.9,580,6.7
Yam,0.05,6.1,0.34,5.2,26,510,5.7
Yam,0.06,6.8,0.39,5.4,26.9,535,6
Yam,0.08,7.5,0.45,5.6,27.5,560,6.45
Yam,0.09,9.2,0.53,5.8,28.6,620,6.85
Yam,0.07,7.3,0.42,5.5,27.4,550,6.2
Tomato,0.08,8,0.48,5.6,27.9,565,10.1
Tomato,0.09,8.5,0.51,5.7,28.1,580,10.3
Tomato,0.07,7.4,0.44,5.5,27.3,550,9.9
Tomato,0.06,7,0.41,5.4,26.8,540,9.6
Tomato,0.08,7.8,0.47,5.6,27.6,560,10.2
Tomato,0.07,7.2,0.43,5.5,27.1,535,9.8
Tomato,0.09,9,0.52,5.8,28.3,600,10.5
Tomato,0.05,6.5,0.38,5.2,26.2,520,9.3
Tomato,0.06,6.8,0.4,5.3,26.6,530,9.5
Tomato,0.08,8.1,0.49,5.6,27.7,575,10.25
Tomato,0.07,7.3,0.45,5.5,27.2,545,9.95
Tomato,0.06,6.7,0.39,5.3,26.5,525,9.6
Tomato,0.09,9.3,0.53,5.9,28.5,610,10.6
Tomato,0.07,7.5,0.46,5.5,27.4,555,10
Tomato,0.08,8.3,0.5,5.7,27.8,580,10.4
Tomato,0.05,6.3,0.36,5.2,26.1,510,9.2
Tomato,0.06,6.9,0.42,5.4,26.9,535,9.7
Tomato,0.08,7.9,0.48,5.6,27.6,560,10.15
Tomato,0.09,9.1,0.54,5.8,28.6,620,10.65
Tomato,0.07,7.6,0.44,5.5,27.5,550,9.85
Pepper,0.08,8.1,0.5,5.6,27.9,560,14.8
Pepper,0.09,8.6,0.54,5.7,28,580,15.2
Pepper,0.07,7.5,0.46,5.5,27.3,545,14.5
Pepper,0.06,7.1,0.43,5.4,26.8,535,14.2
Pepper,0.08,7.9,0.49,5.6,27.6,555,15
Pepper,0.07,7.3,0.45,5.5,27,530,14.6
Pepper,0.09,9.1,0.55,5.8,28.3,600,15.4
Pepper,0.05,6.6,0.4,5.2,26.3,520,13.8
Pepper,0.06,6.9,0.42,5.3,26.6,525,14.1
Pepper,0.08,8.2,0.51,5.6,27.7,570,15.1
Pepper,0.07,7.4,0.47,5.5,27.1,540,14.7
Pepper,0.06,6.8,0.41,5.3,26.5,515,13.9
Pepper,0.09,9.4,0.56,5.9,28.5,610,15.5
Pepper,0.07,7.6,0.48,5.5,27.4,550,14.9
Pepper,0.08,8.4,0.53,5.7,27.8,580,15.3
Pepper,0.05,6.4,0.38,5.2,26.1,500,13.7
Pepper,0.06,7,0.44,5.4,26.9,530,14.3
Pepper,0.08,8,0.5,5.6,27.6,560,15.05
Pepper,0.09,9.3,0.57,5.8,28.6,620,15.6
Pepper,0.07,7.7,0.46,5.5,27.5,540,14.6
Cocoyam,0.07,7.2,0.42,5.5,27.3,550,5.8
Cocoyam,0.08,7.8,0.46,5.6,27.6,565,6.1
Cocoyam,0.06,6.7,0.4,5.4,26.9,530,5.6
Cocoyam,0.05,6.3,0.36,5.3,26.5,515,5.4
Cocoyam,0.07,7.4,0.43,5.5,27.4,555,5.9
Cocoyam,0.06,6.9,0.39,5.4,27,535,5.65
Cocoyam,0.08,8.5,0.48,5.7,28.2,590,6.2
Cocoyam,0.04,6,0.34,5.2,26.1,500,5.1
Cocoyam,0.05,6.5,0.36,5.3,26.4,510,5.3
Cocoyam,0.07,7.6,0.44,5.6,27.5,560,6
Cocoyam,0.06,6.8,0.41,5.4,26.8,520,5.7
Cocoyam,0.05,6.2,0.35,5.3,26.3,505,5.25
Cocoyam,0.08,8.8,0.5,5.8,28.3,600,6.3
Cocoyam,0.06,7.1,0.42,5.4,27.1,540,5.75
Cocoyam,0.07,7.9,0.45,5.6,27.7,570,6.15
Cocoyam,0.04,5.9,0.33,5.1,25.9,495,5
Cocoyam,0.05,6.6,0.37,5.3,26.6,515,5.55
Cocoyam,0.07,7.7,0.44,5.5,27.3,550,5.95
Cocoyam,0.08,9,0.51,5.8,28.4,610,6.35
Cocoyam,0.06,7.2,0.4,5.4,27.2,530,5.65
Yam,0.07,7.5,0.44,5.5,27.5,560,6.4
Yam,0.08,8.2,0.47,5.6,27.9,580,6.6
Yam,0.06,6.9,0.41,5.4,26.7,540,6.2
Yam,0.05,6.4,0.38,5.3,26.3,525,5.95
Yam,0.07,7.6,0.45,5.5,27.6,565,6.5
Yam,0.06,6.8,0.4,5.4,26.8,535,6.15
Yam,0.08,8.7,0.49,5.7,28.1,595,6.75
Yam,0.04,6,0.35,5.2,26,510,5.8
Yam,0.05,6.3,0.37,5.2,26.2,515,5.9
Yam,0.07,7.8,0.46,5.5,27.7,570,6.55
Yam,0.06,7,0.42,5.4,27,550,6.25
Yam,0.05,6.6,0.39,5.3,26.5,530,5.85
Yam,0.08,8.9,0.51,5.8,28.4,605,6.8
Yam,0.06,7.2,0.43,5.4,27.2,545,6.3
Yam,0.07,8,0.47,5.6,27.8,575,6.7
Yam,0.04,5.8,0.33,5.1,25.8,500,5.7
Yam,0.05,6.7,0.38,5.3,26.6,530,6
Yam,0.07,7.4,0.44,5.5,27.4,555,6.45
Yam,0.08,9.1,0.52,5.8,28.5,615,6.85
Yam,0.06,7.3,0.41,5.4,27.3,540,6.2
Tomato,0.07,7.9,0.46,5.5,27.7,560,10.1
Tomato,0.08,8.4,0.49,5.6,28,580,10.3
Tomato,0.06,7.2,0.43,5.4,27.1,545,9.9
Tomato,0.05,6.8,0.4,5.3,26.6,535,9.6
Tomato,0.07,7.6,0.45,5.5,27.5,555,10.2
Tomato,0.06,7,0.41,5.4,27,530,9.8
Tomato,0.08,8.9,0.5,5.7,28.2,600,10.5
Tomato,0.04,6.3,0.36,5.1,26.1,520,9.3
Tomato,0.05,6.6,0.38,5.2,26.4,525,9.5
Tomato,0.07,8,0.47,5.5,27.8,570,10.25
Tomato,0.06,7.1,0.44,5.4,27.2,545,9.95
Tomato,0.05,6.7,0.39,5.3,26.5,530,9.6
Tomato,0.08,9.2,0.51,5.8,28.3,610,10.6
Tomato,0.06,7.3,0.46,5.4,27.3,550,10
Tomato,0.07,8.2,0.48,5.6,27.9,580,10.4
Tomato,0.04,6.1,0.34,5.1,26,510,9.2
Tomato,0.05,6.9,0.42,5.2,26.9,535,9.7
Tomato,0.07,7.8,0.46,5.5,27.6,560,10.15
Tomato,0.08,9,0.52,5.7,28.5,620,10.65
Tomato,0.06,7.4,0.44,5.4,27.4,550,9.85
Pepper,0.07,8,0.48,5.5,27.8,555,14.8
Pepper,0.08,8.5,0.52,5.6,28,575,15.2
Pepper,0.06,7.3,0.44,5.4,27.1,545,14.5
Pepper,0.05,6.9,0.41,5.3,26.7,535,14.2
Pepper,0.07,7.7,0.47,5.5,27.5,550,15
Pepper,0.06,7.1,0.43,5.4,27,530,14.6
Pepper,0.08,9,0.53,5.7,28.2,595,15.4
Pepper,0.04,6.4,0.39,5.1,26.2,515,13.8
Pepper,0.05,6.7,0.41,5.2,26.5,520,14.1
Pepper,0.07,8.1,0.49,5.5,27.7,565,15.1
Pepper,0.06,7.2,0.45,5.4,27.2,540,14.7
Pepper,0.05,6.6,0.4,5.3,26.4,510,13.9
Pepper,0.08,9.3,0.54,5.8,28.3,610,15.5
Pepper,0.06,7.4,0.46,5.4,27.3,545,14.9
Pepper,0.07,8.3,0.51,5.6,27.9,575,15.3
Pepper,0.04,6.2,0.37,5.1,26,505,13.7
Pepper,0.05,6.8,0.43,5.2,26.8,530,14.3
Pepper,0.07,7.9,0.49,5.5,27.6,555,15.05
Pepper,0.08,9.2,0.55,5.7,28.4,620,15.6
Pepper,0.06,7.5,0.47,5.4,27.5,540,14.6
Maize,0.07,8,0.45,5.5,27.5,530,3.2
Maize,0.08,8.5,0.48,5.6,27.8,550,3.5
Maize,0.06,7.2,0.42,5.4,27,510,3
Maize,0.05,6.8,0.39,5.3,26.5,495,2.8
Maize,0.07,7.9,0.44,5.5,27.6,525,3.25
Maize,0.06,7.1,0.4,5.4,26.9,505,2.95
Maize,0.08,9,0.5,5.7,28.1,560,3.6
Maize,0.04,6.5,0.37,5.2,26.1,480,2.7
Maize,0.05,6.9,0.39,5.2,26.3,490,2.85
Maize,0.07,8.1,0.46,5.5,27.7,535,3.4
Rice,0.08,10.2,0.55,5.6,28.3,580,4.4
Rice,0.07,9.8,0.52,5.5,28,570,4.3
Rice,0.06,9,0.5,5.4,27.5,550,4
Rice,0.05,8.5,0.48,5.3,27,535,3.8
Rice,0.07,10,0.53,5.5,28.1,560,4.35
Rice,0.06,8.8,0.49,5.4,27.4,540,3.95
Rice,0.08,10.5,0.56,5.7,28.5,590,4.5
Rice,0.04,8.2,0.45,5.2,26.5,510,3.6
Rice,0.05,8.6,0.47,5.3,26.8,525,3.75
Rice,0.07,9.9,0.54,5.6,28.2,575,4.45
Cassava,0.06,6.5,0.4,5.4,27.1,500,15.2
Cassava,0.07,6.8,0.43,5.5,27.4,510,15.6
Cassava,0.05,6,0.38,5.3,26.5,480,14.8
Cassava,0.04,5.6,0.36,5.2,26.1,470,14.4
Cassava,0.06,6.7,0.42,5.4,27,505,15.3
Cassava,0.07,7,0.44,5.5,27.5,515,15.7
Cassava,0.08,7.4,0.46,5.6,27.9,530,16
Cassava,0.05,6.2,0.39,5.3,26.7,490,15
Cassava,0.06,6.6,0.41,5.4,27.2,500,15.4
Cassava,0.07,6.9,0.43,5.5,27.6,510,15.8
Plantain,0.07,7.8,0.5,5.5,27.8,550,12.5
Plantain,0.08,8.3,0.53,5.6,28.1,570,13
Plantain,0.06,7,0.47,5.4,27.2,530,12.2
Plantain,0.05,6.6,0.44,5.3,26.6,510,11.8
Plantain,0.07,7.7,0.49,5.5,27.7,545,12.6
Plantain,0.06,6.9,0.45,5.4,27.1,520,12.1
Plantain,0.08,8.5,0.54,5.7,28.2,580,13.2
Plantain,0.04,6.3,0.42,5.2,26.2,500,11.6
Plantain,0.05,6.7,0.44,5.3,26.8,510,11.9
Plantain,0.07,7.9,0.51,5.6,27.9,555,12.7
Cocoyam,0.07,7.2,0.42,5.5,27.3,550,5.8
Cocoyam,0.08,7.8,0.46,5.6,27.6,565,6.1
Cocoyam,0.06,6.7,0.4,5.4,26.9,530,5.6
Cocoyam,0.05,6.3,0.36,5.3,26.5,515,5.4
Cocoyam,0.07,7.4,0.43,5.5,27.4,555,5.9
Cocoyam,0.06,6.9,0.39,5.4,27,535,5.65
Cocoyam,0.08,8.5,0.48,5.7,28.2,590,6.2
Cocoyam,0.04,6,0.34,5.2,26.1,500,5.1
Cocoyam,0.05,6.5,0.36,5.3,26.4,510,5.3
Cocoyam,0.07,7.6,0.44,5.6,27.5,560,6
Cocoyam,0.06,6.8,0.41,5.4,26.8,520,5.7
Cocoyam,0.05,6.2,0.35,5.3,26.3,505,5.25
Cocoyam,0.08,8.8,0.5,5.8,28.3,600,6.3
Cocoyam,0.06,7.1,0.42,5.4,27.1,540,5.75
Cocoyam,0.07,7.9,0.45,5.6,27.7,570,6.15
Cocoyam,0.04,5.9,0.33,5.1,25.9,495,5
Cocoyam,0.05,6.6,0.37,5.3,26.6,515,5.55
Cocoyam,0.07,7.7,0.44,5.5,27.3,550,5.95
Cocoyam,0.08,9,0.51,5.8,28.4,610,6.35
Cocoyam,0.06,7.2,0.4,5.4,27.2,530,5.65
Yam,0.07,7.5,0.44,5.5,27.5,560,6.4
Yam,0.08,8.2,0.47,5.6,27.9,580,6.6
Yam,0.06,6.9,0.41,5.4,26.7,540,6.2
Yam,0.05,6.4,0.38,5.3,26.3,525,5.95
Yam,0.07,7.6,0.45,5.5,27.6,565,6.5
Yam,0.06,6.8,0.4,5.4,26.8,535,6.15
Yam,0.08,8.7,0.49,5.7,28.1,595,6.75
Yam,0.04,6,0.35,5.2,26,510,5.8
Yam,0.05,6.3,0.37,5.2,26.2,515,5.9
Yam,0.07,7.8,0.46,5.5,27.7,570,6.55
Yam,0.06,7,0.42,5.4,27,550,6.25
Yam,0.05,6.6,0.39,5.3,26.5,530,5.85
Yam,0.08,8.9,0.51,5.8,28.4,605,6.8
Yam,0.06,7.2,0.43,5.4,27.2,545,6.3
Yam,0.07,8,0.47,5.6,27.8,575,6.7
Yam,0.04,5.8,0.33,5.1,25.8,500,5.7
Yam,0.05,6.7,0.38,5.3,26.6,530,6
Yam,0.07,7.4,0.44,5.5,27.4,555,6.45
Yam,0.08,9.1,0.52,5.8,28.5,615,6.85
Yam,0.06,7.3,0.41,5.4,27.3,540,6.2
Tomato,0.07,7.9,0.46,5.5,27.7,560,10.1
Tomato,0.08,8.4,0.49,5.6,28,580,10.3
Tomato,0.06,7.2,0.43,5.4,27.1,545,9.9
Tomato,0.05,6.8,0.4,5.3,26.6,535,9.6
Tomato,0.07,7.6,0.45,5.5,27.5,555,10.2
Tomato,0.06,7,0.41,5.4,27,530,9.8
Tomato,0.08,8.9,0.5,5.7,28.2,600,10.5
Tomato,0.04,6.3,0.36,5.1,26.1,520,9.3
Tomato,0.05,6.6,0.38,5.2,26.4,525,9.5
Tomato,0.07,8,0.47,5.5,27.8,570,10.25
Tomato,0.06,7.1,0.44,5.4,27.2,545,9.95
Tomato,0.05,6.7,0.39,5.3,26.5,530,9.6
Tomato,0.08,9.2,0.51,5.8,28.3,610,10.6
Tomato,0.06,7.3,0.46,5.4,27.3,550,10
Tomato,0.07,8.2,0.48,5.6,27.9,580,10.4
Tomato,0.04,6.1,0.34,5.1,26,510,9.2
Tomato,0.05,6.9,0.42,5.2,26.9,535,9.7
Tomato,0.07,7.8,0.46,5.5,27.6,560,10.15
Tomato,0.08,9,0.52,5.7,28.5,620,10.65
Tomato,0.06,7.4,0.44,5.4,27.4,550,9.85
Pepper,0.07,8,0.48,5.5,27.8,555,14.8
Pepper,0.08,8.5,0.52,5.6,28,575,15.2
Pepper,0.06,7.3,0.44,5.4,27.1,545,14.5
Pepper,0.05,6.9,0.41,5.3,26.7,535,14.2
Pepper,0.07,7.7,0.47,5.5,27.5,550,15
Pepper,0.06,7.1,0.43,5.4,27,530,14.6
Pepper,0.08,9,0.53,5.7,28.2,595,15.4
Pepper,0.04,6.4,0.39,5.1,26.2,515,13.8
Pepper,0.05,6.7,0.41,5.2,26.5,520,14.1
Pepper,0.07,8.1,0.49,5.5,27.7,565,15.1
Pepper,0.06,7.2,0.45,5.4,27.2,540,14.7
Pepper,0.05,6.6,0.4,5.3,26.4,510,13.9
Pepper,0.08,9.3,0.54,5.8,28.3,610,15.5
Pepper,0.06,7.4,0.46,5.4,27.3,545,14.9
Pepper,0.07,8.3,0.51,5.6,27.9,575,15.3
Pepper,0.04,6.2,0.37,5.1,26,505,13.7
Pepper,0.05,6.8,0.43,5.2,26.8,530,14.3
Pepper,0.07,7.9,0.49,5.5,27.6,555,15.05
Pepper,0.08,9.2,0.55,5.7,28.4,620,15.6
Pepper,0.06,7.5,0.47,5.4,27.5,540,14.6
Maize,0.07,8,0.45,5.5,27.5,530,3.2
Maize,0.08,8.5,0.48,5.6,27.8,550,3.5
Maize,0.06,7.2,0.42,5.4,27,510,3
Maize,0.05,6.8,0.39,5.3,26.5,495,2.8
Maize,0.07,7.9,0.44,5.5,27.6,525,3.25
Maize,0.06,7.1,0.4,5.4,26.9,505,2.95
Maize,0.08,9,0.5,5.7,28.1,560,3.6
Maize,0.04,6.5,0.37,5.2,26.1,480,2.7
Maize,0.05,6.9,0.39,5.2,26.3,490,2.85
Maize,0.07,8.1,0.46,5.5,27.7,535,3.4
Rice,0.08,10.2,0.55,5.6,28.3,580,4.4
Rice,0.07,9.8,0.52,5.5,28,570,4.3
Rice,0.06,9,0.5,5.4,27.5,550,4
Rice,0.05,8.5,0.48,5.3,27,535,3.8
Rice,0.07,10,0.53,5.5,28.1,560,4.35
Rice,0.06,8.8,0.49,5.4,27.4,540,3.95
Rice,0.08,10.5,0.56,5.7,28.5,590,4.5
Rice,0.04,8.2,0.45,5.2,26.5,510,3.6
Rice,0.05,8.6,0.47,5.3,26.8,525,3.75
Rice,0.07,9.9,0.54,5.6,28.2,575,4.45
Cassava,0.06,6.5,0.4,5.4,27.1,500,15.2
Cassava,0.07,6.8,0.43,5.5,27.4,510,15.6
Cassava,0.05,6,0.38,5.3,26.5,480,14.8
Cassava,0.04,5.6,0.36,5.2,26.1,470,14.4
Cassava,0.06,6.7,0.42,5.4,27,505,15.3
Cassava,0.07,7,0.44,5.5,27.5,515,15.7
Cassava,0.08,7.4,0.46,5.6,27.9,530,16
Cassava,0.05,6.2,0.39,5.3,26.7,490,15
Cassava,0.06,6.6,0.41,5.4,27.2,500,15.4
Cassava,0.07,6.9,0.43,5.5,27.6,510,15.8
Plantain,0.07,7.8,0.5,5.5,27.8,550,12.5
Plantain,0.08,8.3,0.53,5.6,28.1,570,13
Plantain,0.06,7,0.47,5.4,27.2,530,12.2
Plantain,0.05,6.6,0.44,5.3,26.6,510,11.8
Plantain,0.07,7.7,0.49,5.5,27.7,545,12.6
Plantain,0.06,6.9,0.45,5.4,27.1,520,12.1
Plantain,0.08,8.5,0.54,5.7,28.2,580,13.2
Plantain,0.04,6.3,0.42,5.2,26.2,500,11.6
Plantain,0.05,6.7,0.44,5.3,26.8,510,11.9
Plantain,0.07,7.9,0.51,5.6,27.9,555,12.7
Maize,0.08,9.2,0.5,5.7,27.6,560,3.6
Maize,0.07,8.6,0.47,5.6,27.3,545,3.4
Maize,0.06,7.8,0.44,5.5,27,530,3.1
Maize,0.05,7.2,0.4,5.4,26.6,510,2.9
Maize,0.07,8.8,0.46,5.6,27.5,550,3.45
Maize,0.06,7.5,0.42,5.4,26.8,520,3.05
Maize,0.08,9.5,0.52,5.8,27.9,570,3.7
Maize,0.04,6.8,0.39,5.3,26.2,500,2.75
Maize,0.05,7.1,0.41,5.4,26.5,510,2.95
Maize,0.07,8.9,0.48,5.6,27.7,555,3.5
Rice,0.08,10.5,0.56,5.8,28.4,600,4.6
Rice,0.07,9.9,0.53,5.6,28,580,4.35
Rice,0.06,9.1,0.5,5.5,27.6,560,4.1
Rice,0.05,8.6,0.47,5.4,27.2,545,3.85
Rice,0.07,10.3,0.55,5.6,28.3,590,4.5
Rice,0.06,9,0.49,5.5,27.5,550,4
Rice,0.08,10.7,0.57,5.9,28.6,610,4.7
Rice,0.04,8.3,0.45,5.3,26.6,520,3.65
Rice,0.05,8.7,0.47,5.4,26.9,530,3.8
Rice,0.07,10.1,0.54,5.7,28.2,595,4.55
Cassava,0.06,6.8,0.42,5.5,27.3,520,15.6
Cassava,0.07,7.1,0.45,5.6,27.6,530,16
Cassava,0.05,6.3,0.39,5.4,26.7,500,14.9
Cassava,0.04,5.9,0.37,5.3,26.3,490,14.5
Cassava,0.06,7,0.44,5.5,27.2,515,15.5
Cassava,0.07,7.3,0.46,5.6,27.8,540,16.1
Cassava,0.08,7.7,0.48,5.7,28.1,550,16.4
Cassava,0.05,6.5,0.4,5.4,26.9,505,15.2
Cassava,0.06,6.9,0.43,5.5,27.3,520,15.7
Cassava,0.07,7.2,0.45,5.6,27.7,535,16.2
Plantain,0.07,8,0.52,5.6,27.9,560,12.8
Plantain,0.08,8.6,0.55,5.7,28.2,580,13.3
Plantain,0.06,7.2,0.48,5.5,27.3,540,12.4
Plantain,0.05,6.8,0.45,5.4,26.7,520,12
Plantain,0.07,7.9,0.51,5.6,27.8,555,12.9
Plantain,0.06,7.1,0.47,5.5,27.2,530,12.3
Plantain,0.08,8.8,0.56,5.8,28.3,590,13.4
Plantain,0.04,6.5,0.43,5.3,26.3,510,11.7
Plantain,0.05,6.9,0.45,5.4,26.9,520,12.1
Plantain,0.07,8.1,0.53,5.7,28,565,13
Cocoyam,0.07,8.5,0.48,5.6,27.4,580,7.2
Cocoyam,0.06,7.8,0.45,5.5,27,560,6.9
Cocoyam,0.05,7.2,0.42,5.4,26.6,540,6.5
Cocoyam,0.04,6.7,0.4,5.3,26.2,530,6.1
Cocoyam,0.06,7.9,0.46,5.5,27.3,550,6.8
Cocoyam,0.07,8.3,0.49,5.6,27.6,570,7
Cocoyam,0.08,8.9,0.51,5.7,28,590,7.4
Cocoyam,0.05,7,0.43,5.4,26.8,545,6.6
Cocoyam,0.06,7.6,0.47,5.5,27.2,555,6.95
Cocoyam,0.07,8.4,0.5,5.6,27.9,580,7.1
Yam,0.08,9.1,0.55,5.8,27.8,570,14.8
Yam,0.07,8.4,0.52,5.7,27.4,550,14.3
Yam,0.06,7.8,0.49,5.6,27,530,13.9
Yam,0.05,7.2,0.46,5.5,26.5,510,13.2
Yam,0.07,8.6,0.53,5.7,27.6,560,14.5
Yam,0.06,7.5,0.48,5.5,26.9,520,13.6
Yam,0.08,9.4,0.57,5.9,28.2,590,15.1
Yam,0.04,6.8,0.44,5.4,26.1,500,12.7
